cpu	Fold	Training_size	Testing_size	Tree_depth	cascade_depth	nu	feature_pool_size	num_test_splits	oversampling_amount	landmark_relative_padding_mode	training_time	training_error	testing_error	model_size
36	1/4	806	269	3.0	14.0	0.0415386709497265	203.0	188.0	97.0	1.0	961.9491822719574	1.3887480657211966	3.314777986468371	11255.5927734375
36	2/4	806	269	3.0	14.0	0.0415386709497265	203.0	188.0	97.0	1.0	949.7332973480225	1.401858446011003	3.3036397052034627	11255.611328125
36	3/4	807	268	3.0	14.0	0.0415386709497265	203.0	188.0	97.0	1.0	963.5577077865601	1.3753822563781892	3.402130172014423	11255.3359375
36	mean	807	268	3.0	14.0	0.0415386709497265	203.0	188.0	97.0	1.0	963.5577077865601	1.374969344361452	3.366552493977535	11255.3359375
36	0/4	806	269	3.0	18.0	0.01454681403962583	597.0	167.0	92.0	1.0	1273.2117557525635	1.7834881600826757	3.480688623327132	14638.18359375
36	1/4	806	269	3.0	18.0	0.01454681403962583	597.0	167.0	92.0	1.0	1300.273222208023	1.8309615929380574	3.344805389511101	14637.765625
36	2/4	806	269	3.0	18.0	0.01454681403962583	597.0	167.0	92.0	1.0	1303.6405093669891	1.8501361765224817	3.3003748849425443	14638.6669921875
36	3/4	807	268	3.0	18.0	0.01454681403962583	597.0	167.0	92.0	1.0	1283.3906304836273	1.8142642910361664	3.3016345815387917	14638.0263671875
36	mean	807	268	3.0	18.0	0.01454681403962583	597.0	167.0	92.0	1.0	1283.3906304836273	1.8197125551448454	3.356875869829892	14638.0263671875
36	0/4	806	269	3.0	14.0	0.07293426337081939	299.0	75.0	83.0	1.0	516.1968331336975	0.9266646446888771	3.5175723252020976	11287.4912109375
36	1/4	806	269	3.0	14.0	0.07293426337081939	299.0	75.0	83.0	1.0	515.8967034816742	0.9464153166928144	3.244451324269147	11287.3505859375
36	2/4	806	269	3.0	14.0	0.07293426337081939	299.0	75.0	83.0	1.0	518.2300381660461	0.9408403357257717	3.3432072500931276	11287.4580078125
36	3/4	807	268	3.0	14.0	0.07293426337081939	299.0	75.0	83.0	1.0	522.764298915863	0.9397421128161179	3.3866068857504956	11287.08203125
36	mean	807	268	3.0	14.0	0.07293426337081939	299.0	75.0	83.0	1.0	522.764298915863	0.9384156024808954	3.372959446328717	11287.08203125
36	0/4	806	269	3.0	18.0	0.020716858182188318	483.0	198.0	89.0	1.0	1250.9245126247406	1.393458671745532	3.3758260689189505	14596.9775390625
