cpu	Fold	Training_size	Testing_size	Tree_depth	cascade_depth	nu	feature_pool_size	num_test_splits	oversampling_amount	landmark_relative_padding_mode	training_time	training_error	testing_error	model_size
36	2/4	191	64	3.0	16.0	0.05669438497453991	475.0	75.0	88.0	1.0	161.10470008850098	6.376522622871503	40.081200142086225	9972.6279296875
36	3/4	192	63	3.0	16.0	0.05669438497453991	475.0	75.0	88.0	1.0	157.44339537620544	6.507920280160935	36.79655809001361	9972.99609375
36	mean	192	63	3.0	16.0	0.05669438497453991	475.0	75.0	88.0	1.0	157.44339537620544	6.344127809069033	40.544925258645804	9972.99609375
36	0/4	191	64	3.0	9.0	0.02779161375577085	207.0	196.0	89.0	1.0	147.33345818519592	20.224174648746896	46.56327526772632	5549.3515625
36	1/4	191	64	3.0	9.0	0.02779161375577085	207.0	196.0	89.0	1.0	146.52997136116028	18.38636135566026	46.442335703753024	5549.47265625
36	2/4	191	64	3.0	9.0	0.02779161375577085	207.0	196.0	89.0	1.0	147.98199105262756	20.597564467720527	41.707659017236836	5549.0703125
36	3/4	192	63	3.0	9.0	0.02779161375577085	207.0	196.0	89.0	1.0	149.8794240951538	20.441334241283435	41.56095949114558	5549.0693359375
36	mean	192	63	3.0	9.0	0.02779161375577085	207.0	196.0	89.0	1.0	149.8794240951538	19.91235867835278	44.06855736996544	5549.0693359375
36	0/4	191	64	3.0	16.0	0.06655300164773854	475.0	75.0	88.0	1.0	159.53440189361572	6.292554414243899	39.35838050680879	9971.62890625
36	1/4	191	64	3.0	16.0	0.06655300164773854	475.0	75.0	88.0	1.0	160.03988313674927	5.513569415519268	43.030735473716504	9972.6142578125
36	2/4	191	64	3.0	16.0	0.06655300164773854	475.0	75.0	88.0	1.0	158.5140507221222	6.0341605196885615	39.02040842496202	9970.9052734375
36	3/4	192	63	3.0	16.0	0.06655300164773854	475.0	75.0	88.0	1.0	158.51784300804138	6.0161067863726565	36.69766759045751	9972.740234375
36	mean	192	63	3.0	16.0	0.06655300164773854	475.0	75.0	88.0	1.0	158.51784300804138	5.964097783956096	39.52679799898621	9972.740234375
